date,CW,EW,EBC,CW-EW,CW-EBC,MKT_RF,SMB,HML,RMW,CMA,RF,MOM
1966-07,-0.009814519532100035,-0.012029798000000001,-0.007903245140762214,0.0022152784678999664,-0.0019112743913378208,-0.0163,-0.0038,0.0091,-0.0038,0.0174,0.0034999999999999,-0.013
1966-08,-0.06894974442362783,-0.08673852200000001,-0.07791275570490139,0.017788777576372178,0.008963011281273553,-0.0794,-0.0315,0.005,-0.0064,0.0077,0.0040999999999999,-0.0220999999999999
1966-09,-0.0023869263093004803,-0.013219096000000001,-0.007097593458209121,0.010832169690699521,0.004710667148908641,-0.0106,-0.0102,0.0048,-0.0118999999999999,0.0235,0.004,-0.0186
1966-10,0.05288363596625752,0.025876501999999996,0.02046801067204541,0.02700713396625752,0.0324156252942121,0.0385999999999999,-0.0648,0.0274,-0.0391,0.0423,0.0045,-0.052
1966-11,0.018196104359222663,0.029148428000000004,0.014568779892876648,-0.01095232364077734,0.003627324466346015,0.0138,0.0334,-0.0463,0.0466,-0.0650999999999999,0.004,0.0573
1966-12,0.00303483765813538,0.012243345999999999,0.009059752580840382,-0.009208508341864619,-0.006024914922705002,0.0013,0.0187999999999999,-0.0095,0.0017,-0.0016,0.004,0.0098999999999999
1967-01,0.08341517375548896,0.123985514,0.1043737585962753,-0.04057034024451105,-0.020958584840786346,0.0815,0.0898,0.0236,0.0129,-0.0306,0.0043,-0.07
1967-02,0.010038761625335115,0.009006186,0.006594732889220658,0.0010325756253351161,0.0034440287361144576,0.0077,0.0301,-0.0226,0.0166,-0.0093,0.0036,0.0351
1967-03,0.04400672353806134,0.050558202,0.04365362386382237,-0.0065514784619386535,0.00035309967423897276,0.04,0.0177,0.0046999999999999,0.0081999999999999,-0.015,0.0039,0.0139
1967-04,0.0474576610097583,0.037675682,0.03218345774501808,0.009781979009758295,0.015274203264740216,0.0389,0.0043,-0.0229,0.0308999999999999,-0.0372,0.0032,0.0052
1967-05,-0.044614863956183845,-0.028494454000000002,-0.028352030640846536,-0.016120409956183843,-0.01626283331533731,-0.0432,0.0245,0.008,-0.0118999999999999,0.0162,0.0033,0.0066
1967-06,0.022242000222846385,0.03653649,0.026073702837373706,-0.014294489777153613,-0.0038317026145273207,0.0242,0.0642,0.008,-0.0084,-0.0249,0.0027,0.0601
1967-07,0.05115178979980838,0.06756109619238476,0.05759128443352884,-0.01640930639257638,-0.006439494633720455,0.0458,0.0358,0.0275,0.0045,0.0266,0.0032,-0.011
1967-08,-0.00498949809884448,0.004667240480961923,0.009557198912466858,-0.009656738579806402,-0.014546697011311338,-0.009,0.0077,0.0143,0.003,0.0135,0.0031,-0.0132
1967-09,0.03679047687762553,0.026158276553106208,0.026038869079721156,0.010632200324519323,0.010751607797904374,0.0311,0.0243,-0.0247,0.0022,-0.0093,0.0032,0.0239
1967-10,-0.022280880381587046,-0.049314096,-0.04467798577277111,0.027033215618412956,0.02239710539118406,-0.0308,0.0056999999999999,-0.0329,0.0097,-0.0274,0.0039,0.0368
1967-11,0.009100602006820217,-0.0004459000000000006,-0.005277503875103526,0.009546502006820218,0.014378105881923745,0.0037,-0.0006,-0.0171,0.0131,-0.0227999999999999,0.0036,0.0121999999999999
1967-12,0.029750965697490153,0.045375903999999995,0.03662130059092153,-0.015624938302509842,-0.006870334893431376,0.0305,0.0559,-0.0054,-0.0074,-0.0003,0.0033,0.032
1968-01,-0.0364035814907686,-0.012403140280561121,-0.006605360552748284,-0.024000441210207474,-0.029798220938020314,-0.0403,0.0467999999999999,0.0484999999999999,-0.0489,0.0646,0.004,-0.0446
1968-02,-0.02490074128960647,-0.030877459999999995,-0.021376604500758095,0.005976718710393524,-0.003524136788848376,-0.0374,-0.0292,0.0123,-0.0008,0.0246,0.0039,-0.0334
1968-03,0.012672787026894684,0.003825442885771542,0.0006800328002401648,0.008847344141123141,0.01199275422665452,0.0021,-0.0155,-0.0063,0.0107,-0.0115,0.0038,0.0319
1968-04,0.08765427318424562,0.102252314,0.09175536165495292,-0.014598040815754373,-0.004101088470707295,0.0901,0.0617,-0.011,0.0279,-0.0373,0.0043,0.0511
1968-05,0.0200288340429736,0.042875874,0.037115931531321845,-0.022847039957026402,-0.017087097488348246,0.0227999999999999,0.0697,0.0081999999999999,0.0049,-0.0192,0.0045,0.0375
1968-06,0.012778403594188149,0.020068758,0.028540587103636193,-0.00729035440581185,-0.015762183509448045,0.0069999999999999,-0.0033,0.0066,-0.0156,0.0279999999999999,0.0043,-0.0209
1968-07,-0.012856121790520942,-0.026167240963855417,-0.015361080665750947,0.013311119173334475,0.0025049588752300046,-0.0269,-0.0139,0.0530999999999999,-0.0318,0.0379,0.0048,-0.0089
1968-08,0.018276033136167876,0.025833812000000005,0.019139490546728553,-0.0075577788638321285,-0.0008634574105606772,0.0135,0.0233,0.0098999999999999,-0.0066,0.0046999999999999,0.0042,0.019
1968-09,0.04228343788701157,0.054931376000000004,0.05003215750209623,-0.012647938112988436,-0.007748719615084665,0.0405,0.0281,0.003,-0.0194,0.0087,0.0043,-0.0064
1968-10,0.012109833593888734,0.013221116000000002,0.01411225170471869,-0.0011112824061112678,-0.002002418110829957,0.0044,-0.0043,0.0282,-0.0136,0.0283999999999999,0.0044,-0.0146
1968-11,0.0573477381026062,0.068079364,0.06770227570613585,-0.010731625897393807,-0.010354537603529654,0.0542,0.0239,-0.0096,0.0044,-0.0250999999999999,0.0042,0.0174
