date,CW,EW,EBC,CW-EW,CW-EBC,MKT_RF,SMB,HML,RMW,CMA,RF,MOM
2019-01-03,-0.023481321730580207,-0.018846122772277228,-0.01544137632907641,-0.004635198958302979,-0.008039945401503797,-0.0245,0.0048,0.0118,-0.0022,0.0091,0.0001,-0.0074
2019-01-04,0.03466334403223713,0.03348429900990099,0.03014393927002517,0.0011790450223361365,0.004519404762211958,0.0355,0.0034999999999999,-0.0069,-0.0011,-0.0062,0.0001,-0.0096
2019-01-07,0.007441065103629043,0.010320617821782178,0.008816406439618594,-0.0028795527181531347,-0.0013753413359895508,0.0093999999999999,0.0087,-0.0075,-0.0074,-0.0045,0.0001,-0.0073
2019-01-08,0.009979005274813593,0.0107838,0.01044543155303745,-0.0008047947251864068,-0.00046642627822385783,0.0101,0.0044,-0.0063,0.0034,-0.0012,0.0001,0.0013
2019-01-09,0.0045892434240545,0.006860435643564356,0.00484350344602963,-0.0022711922195098565,-0.0002542600219751301,0.0052,0.005,0.0011,0.0009,-0.002,0.0001,-0.008
2019-01-10,0.004564641512168647,0.006389762376237624,0.006921086204812595,-0.0018251208640689765,-0.0023564446926439475,0.004,-0.0001,-0.0045,-0.0006,-0.0007,0.0001,-0.0033
2019-01-11,-7.300663993219764e-05,0.0011224613861386139,0.0013879360152732056,-0.0011954680260708116,-0.0014609426552054032,0.0,0.002,0.0022,0.0023,0.0022,0.0001,-0.002
2019-01-14,-0.004873511832091082,-0.005431110891089109,-0.005862124059009521,0.0005575990589980267,0.0009886122269184387,-0.006,-0.0046,0.0095,0.0024,0.0,0.0001,-0.0056999999999999
2019-01-15,0.011134287018233883,0.007039823762376237,0.006375554381354664,0.004094463255857645,0.0047587326368792185,0.0105,-0.0014,-0.009,-0.003,-0.0059,0.0001,0.0115
2019-01-16,0.002546345960807609,0.0025157960396039606,0.0021247298894964176,3.054992120364846e-05,0.0004216160713111914,0.0028,0.0026,0.0092,-0.0011,-0.0028,0.0001,-0.0075
2019-01-17,0.007778618761944064,0.008913768316831683,0.008407012788217025,-0.0011351495548876187,-0.0006283940262729604,0.0078,0.0009,-0.0024,0.0006,-0.0002,0.0001,-0.0021
2019-01-18,0.013202732886209198,0.015168683168316831,0.013901243788304464,-0.0019659502821076334,-0.000698510902095266,0.013,-0.0029,0.0012,0.0019,-0.0024,0.0001,-0.0084
2019-01-22,-0.01392523461157849,-0.013813784158415842,-0.011844166554052196,-0.00011145045316264882,-0.0020810680575262946,-0.0152,-0.0034999999999999,0.003,0.0026,0.0036,0.0001,0.0093999999999999
2019-01-23,0.0024565928449690414,-0.0001187089108910889,0.001042453613523628,0.0025753017558601305,0.0014141392314454134,0.0016,-0.0040999999999999,-0.0015,0.0034999999999999,0.0027,0.0001,0.0098
2019-01-24,0.001683157840717306,0.005043342574257426,0.0026692761293137263,-0.0033601847335401197,-0.0009861182885964204,0.0023,0.0048,0.0,-0.0015,-0.0023,0.0001,-0.0098999999999999
2019-01-25,0.00875327453900656,0.010685718811881188,0.008543826599541074,-0.0019324442728746276,0.00020944793946548607,0.009,0.0040999999999999,-0.0034,-0.0036,-0.0056999999999999,0.0001,-0.0135
2019-01-28,-0.007543455637491001,-0.0040537584158415844,-0.0023703151190809456,-0.0034896972216494166,-0.005173140518410056,-0.008,-0.0007,0.0063,0.0029,0.0017,0.0001,-0.0009
2019-01-29,-0.0013637201045886384,0.0014096752475247524,0.0025378193865276512,-0.002773395352113391,-0.00390153949111629,-0.0019,0.0003,0.0019,0.0003,0.0049,0.0001,-0.0024
2019-01-30,0.016042781841750915,0.010975245544554455,0.00946470232647342,0.005067536297196459,0.006578079515277495,0.0151,-0.0034999999999999,-0.0093999999999999,-0.0023,-0.009,0.0001,0.0009
2019-01-31,0.00962446492037635,0.00696480396039604,0.007699402531680007,0.002659660959980311,0.0019250623886963442,0.0091,-0.0007,-0.0111,-0.0034999999999999,-0.0002,0.0001,0.0032
