date,EBC_Low_CW-EBC_Low,EBC_Low_CW-EBC_Mid,EBC_Low_CW-EBC_High,EBC_Mid_CW-EBC_Low,EBC_Mid_CW-EBC_Mid,EBC_Mid_CW-EBC_High,EBC_High_CW-EBC_Low,EBC_High_CW-EBC_Mid,EBC_High_CW-EBC_High
1969-07,-0.07281328301886793,-0.07678201923076923,-0.08879686792452829,-0.06814079245283018,-0.059135245283018875,-0.08175301886792455,-0.05884418867924529,-0.050322653846153836,-0.0739003396226415
1969-08,0.060795735849056606,0.07057050943396226,0.0543872641509434,0.05389464150943397,0.04675432692307692,0.039585377358490555,0.03602907547169811,0.011647792452830187,0.026118056603773587
1969-09,-0.03143469811320755,-0.019152557692307694,-0.04476556603773585,-0.005992301886792451,-0.009283264150943394,-0.002827735849056603,-0.023673622641509434,-0.013348346153846159,-0.01148075471698113
1969-10,0.050365207547169805,0.05770249056603773,0.07932083018867926,0.06178058490566037,0.06358157692307692,0.08877552830188679,0.06634183018867924,0.06464469811320755,0.03951349056603773
1969-11,-0.053698870370370376,-0.05649826415094339,-0.06603750943396225,-0.028543566037735852,-0.02922669230769231,-0.05482088679245284,-0.022028740740740745,-0.03792928301886792,-0.03990584905660378
1969-12,-0.05324575471698114,-0.05961168518518519,-0.0719112641509434,-0.012344792452830187,-0.035255283018867926,-0.04789105660377359,-0.00872474074074074,-0.02499947169811321,-0.03901060377358491
1970-01,-0.09494387037037037,-0.10149743396226414,-0.04564387037037036,-0.07809485185185185,-0.07042062264150943,-0.02843464814814815,-0.05468561111111111,-0.034618075471698116,-0.010201388888888888
1970-02,0.07476294444444445,0.07314020370370371,0.11097498148148148,0.05613774074074073,0.0583942037037037,0.08197464814814814,0.0558015925925926,0.06319725925925924,0.04315181481481481
1970-03,-0.016711555555555552,-0.0030856851851851865,-0.00293674074074074,-0.011309592592592592,0.006018773584905661,0.002619574074074073,-0.004031907407407408,0.009580574074074075,0.04896581481481482
1970-04,-0.12526069811320753,-0.14468430188679246,-0.13483632075471697,-0.10826058490566037,-0.09225484615384616,-0.09612507547169809,-0.08616045283018868,-0.0903153076923077,-0.08857730188679246
1970-05,-0.07063932075471699,-0.09682516981132075,-0.11482122641509436,-0.0894129245283019,-0.07936656603773584,-0.09104875471698114,-0.062271207547169805,-0.05951684905660378,-0.07285928301886793
1970-06,-0.08810222641509433,-0.08140936538461539,-0.07695964150943396,-0.04999445283018868,-0.049206826923076916,-0.06759288679245283,-0.016357547169811325,-0.051961903846153845,-0.04362566037735848
1970-07,0.07081207547169813,0.10962126415094338,0.10213413207547169,0.08035584905660376,0.09839773076923077,0.0938924150943396,0.07011220754716982,0.05803109615384615,0.04021477358490566
1970-08,0.09549049056603774,0.0842695094339623,0.0990206037735849,0.06279981132075473,0.05270455769230769,0.057311830188679254,0.03724641509433962,0.02346628846153847,0.054048037735849055
1970-09,0.10388201886792453,0.0754480576923077,0.11383124528301886,0.04777935849056603,0.03705982692307692,0.06612915094339622,0.03667239622641509,0.03419928846153846,0.04972237735849057
1970-10,-0.05552020754716982,-0.07349874999999999,-0.05547956603773586,0.0015326981132075467,-0.006384288461538461,-0.05680601923076923,-0.0013750754716981136,-0.014274788461538464,-0.016394981132075468
1970-11,0.045878679245283015,0.04890953846153846,0.03158378846153846,0.05039377358490565,0.055503038461538465,0.04865001886792453,0.0400321320754717,0.05616655769230769,0.0439660576923077
1970-12,0.09044675471698112,0.09412513461538463,0.09387823076923077,0.07071353846153847,0.08737646153846156,0.09567642307692309,0.06332594339622642,0.07883121153846152,0.08941126923076922
1971-01,0.10948428301886795,0.1254728846153846,0.1206705283018868,0.050326961538461536,0.06965442307692307,0.07593321153846153,0.04286922641509433,0.05707973076923076,0.07336075471698113
1971-02,0.029022925925925928,0.03978,0.039166518518518524,0.015444685185185188,0.012755407407407408,0.008221796296296293,0.012520759259259258,0.01100977358490566,0.023660370370370373
